"Answerer Identifier,""Answering link"",""Answering started"",""Answering ended"",""Answering time"",""Release"",""Maksuton koulutus on ollut opiskelijaliikkeen t&auml";rkeimpi&auml; tavoitteita. T&auml;ll&auml; hetkell&auml; kuitenkin EU- ja ETA-maiden ulkopuolisilta opiskelijoilta perit&auml;&auml;n lukukausimaksuja muista kuin suomen tai ruotsin kielell&auml; suoritettavista tutkinnoista. Erilaiset tahot esitt&auml;v&auml;"t lukuvuosimaksuja ajoittain muun muassa korkeakoulujen rahoitustilanteen parantamiseksi."",""1. Suomessa tulisi voida peri&auml";" lukukausimaksuja:"",""Kommentit liittyen edelliseen kysymykseen ”Suomessa tulisi voida peri&auml";" lukukausimaksuja”:"",""Ylioppilaskunta valvoo opiskelijoiden etua yliopiston sis&auml";ll&auml;. Edunvalvonnan yhten&auml; t&auml;rkeimmist&auml; sis&auml;ll&ouml;ist&auml;" on opiskelijoiden vaikutusmahdollisuuksien takaaminen."",""2. Opiskelijoiden vaikutusmahdollisuuksia yliopistojen toimintaan pit&auml";isi mielest&auml;ni kehitt&auml;&auml;" ensisijaisesti:"",""Kommentit liittyen edelliseen kysymykseen ”Opiskelijoiden vaikutusmahdollisuuksia yliopistojen toimintaan pit&auml";isi mielest&auml;ni kehitt&auml;&auml;" ensisijaisesti”:"",""Monilla alueilla on useampia korkeakouluja, jotka antavat osittain p&auml";&auml;llekk&auml;ist&auml; opetusta. Lis&auml;ksi erilaisten korkeakoulujen yhteenliittymien kautta on viimeaikoina pyritty v&auml;hent&auml;m&auml;&auml;n p&auml;&auml;llekk&auml;isyyksi&auml;" (Tampere, Lappeenranta ja Rovaniemi)."",""3. Yliopistoni tulisi tehd&auml"; yhteisty&ouml;t&auml; alueen korkeakoulujen kanssa lakkauttamalla p&auml;&auml;llekk&auml;isi&auml;" koulutusohjelmia."",""Kommentit liittyen edelliseen kysymykseen ”Yliopistoni tulisi tehd&auml"; yhteisty&ouml;t&auml; alueen korkeakoulujen kanssa lakkauttamalla p&auml;&auml;llekk&auml;isi&auml;" koulutusohjelmia”:"",""T&auml";ll&auml; hetkell&auml; l&auml;hes kaikki yliopistoon valittavat opiskelijat saavat automaattisesti oikeuden suorittaa sek&auml; kandi- ett&auml; maisteritutkinnon. Kansainv&auml;lisesti on kuitenkin huomattavasti yleisemp&auml;&auml; suorittaa tutkinnot erikseen ja yleens&auml;" eri vaiheissa urapolkua."",""4. Tulevaisuudessa yh&auml"; useamman opiskelijan pit&auml;isi siirty&auml; ty&ouml;el&auml;m&auml;&auml;n pelk&auml;ll&auml;" kandidaatin tutkinnolla."",""Kommentit liittyen edelliseen kysymykseen ”Tulevaisuudessa yh&auml"; useamman opiskelijan pit&auml;isi siirty&auml; ty&ouml;el&auml;m&auml;&auml;n pelk&auml;ll&auml;" kandidaatin tutkinnolla”:"",""Muun muassa osa yliopistojen rehtoreista on esitt&auml";nyt, ett&auml; Suomessa tulisi olla huomattavasti nykyist&auml; v&auml;hemm&auml;"n yliopistoja laadukkaan tutkimuksen takaamiseksi."",""5. Suomessa on lukum&auml";&auml;r&auml;"llisesti liian monta yliopistoa."",""Kommentit liittyen edelliseen kysymykseen ”Suomessa on lukum&auml";&auml;r&auml;"llisesti liian monta yliopistoa”:"",""Opintotukij&auml";rjestelm&auml;&auml; on muutettu jatkuvasti koko sen olemassaoloajan ja viimeisin suuri muutos astui voimaan 1.8.2017. T&auml;ll&auml; muutoksella opintorahaa leikattiin, opintolainan m&auml;&auml;r&auml;&auml; lis&auml;ttiin ja opiskelijat siirtyiv&auml;"t yleisen asumistuen piiriin."",""6. Opintotukea tulisi jatkossa kehitt&auml";&auml;":"",""Kommentit liittyen edelliseen kysymykseen ”Opintotukea tulisi jatkossa kehitt&auml";&auml;"”:"",""Useat ylioppilaskunnat ovat j&auml";rjest&auml;neet omia kehitysyhteisty&ouml;hankkeita, jonka lis&auml;ksi SYL on aikaisemmin koordinoinut kehitysyhteisty&ouml;viikkoa. Nykyisen linjan mukaan SYL ja halukkaat ylioppilaskunnat toteuttavat uusia hankkeita yhdess&auml;"."",""7. Ylioppilaskunnan tekem&auml";n kehitysyhteisty&ouml;n tulisi sis&auml;lt&auml;&auml;":"",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskunnan tekem&auml";n kehitysyhteisty&ouml;n tulisi sis&auml;lt&auml;&auml;"”:"",""Opiskelijaliikkeen kannalta on t&auml";rke&auml;&auml;, ett&auml;" kaikilla opiskelijoilla on yhdenvertaiset mahdollisuudet vaikuttaa liikkeen toimintaan."",""8. Ylioppilaskuntani antaa tarpeeksi osallistumismahdollisuuksia kansainv&auml";"lisille opiskelijoille."",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskuntani antaa tarpeeksi osallistumismahdollisuuksia kansainv&auml";"lisille opiskelijoille”:"",""Ylioppilaskunnat ovat perinteisesti olleet aktiivisia yhteiskunnallisia toimijoita my&ouml";s omien lakis&auml;&auml;teisten erityisteht&auml;"vien ulkopuolella. Esimerkiksi moni ylioppilaskunta osallistui Tahdon2013-kampanjaan."",""9. Ylioppilaskunta voi ottaa kantaa muihinkin asioihin kuin suoraan koulutukseen, yliopistoihin ja opintososiaalisiin asioihin (opintotuki, asuminen, yms.) liittyviin kysymyksiin."",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskunta voi ottaa kantaa muihinkin asioihin kuin suoraan koulutukseen, yliopistoihin ja opintososiaalisiin asioihin (opintotuki, asuminen, yms.) liittyviin kysymyksiin”:"",""Yliopistolain mukaan jokainen yliopiston opiskelija kuuluu ylioppilaskuntaan automaattisesti. T&auml";t&auml; on pidetty t&auml;rke&auml;n&auml;" erityisesti opiskelijoiden yhdenvertaisen aseman ja edustuksen perusteella."",""10. Ylioppilaskuntien automaatioj&auml";senyys tulee s&auml;ilytt&auml;&auml;"."",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskuntien automaatioj&auml";senyys tulee s&auml;ilytt&auml;&auml;"”:"",""11. Edustajiston t&auml";rkeimm&auml;t p&auml;&auml;t&ouml;sasiat seuraavalla kaudella ovat (valitse kaksi t&auml;rkeint&auml;"):"",""Kommentit liittyen edelliseen kysymykseen &quot";Edustajiston t&auml;rkeimm&auml;t p&auml;&auml;t&ouml;sasiat seuraavalla kaudella&quot;"."",""12. Ylioppilaskunnan j&auml";"senmaksua tulisi"",""Kommentit liittyen edelliseen kysymykseen ylioppilaskunnan j&auml";"senmaksun nostosta."",""13. Edustajiston j&auml";senen tulee noudattaa edustajistoryhm&auml;n kantaa merkitt&auml;viss&auml; kysymyksiss&auml;"."",""Kommentit liittyen edelliseen kysymykseen &quot";Edustajiston j&auml;senen tulee noudattaa edustajistoryhm&auml;n kantata merkitt&auml;viss&auml; kysymyksiss&auml;&quot;"."",""14. AYY:n asuntojen vuokria tulisi korottaa, jotta niiden laatua voitaisiin parantaa."",""Kommentit liittyen edelliseen kysymykseen &quot";AYY:n asuntojen vuokria tulisi korottaa, jotta niiden laatua voitaisiin parantaa.&quot;&nbsp;,15. AYY:n tulee kannustaa taloudellisin keinoin (yhdistysavustukset) yhdistyksi&auml; kehitt&auml;m&auml;&auml;n toimintaansa niin, ett&auml; yhdistyksess&auml;" voi olla mukana, vaikka ei osaisi suomea tai ruotsia."",""Kommentit liittyen edelliseen kysymykseen &quot";AYY:n tulee kannustaa taloudellisin keinoin (yhdistysavustukset) yhdistyksi&auml; kehitt&auml;m&auml;&auml;n toimintaansa niin, ett&auml; yhdistyksess&auml; voi olla mukana, vaikka ei osaisi suomea tai ruotsia.&quot;,16. Ylioppilaskunnan tulisi kompensoida EU ja ETA –alueen ulkopuolisten opiskelijoiden lukukausimaksuja lis&auml;"vuodella asumisaikaan."",""Kommentit liittyen edelliseen kysymykseen &quot";Ylioppilaskunnan tulisi kompensoida EU ja ETA –alueen ulkopuolisten opiskelijoiden lukukausimaksuja lis&auml;vuodella asumisaikaan.&quot;,17. Ylioppilaskunnan palveluista t&auml;rkeimpin&auml; pid&auml;"n"",""Kommentit liittyen edelliseen kysymykseen &quot";Ylioppilaskunnan palveluista t&auml;rkeimpin&auml; pid&auml;n&quot;,18. AYY:n s&auml;&auml;nt&ouml;jen mukaan ylioppilaskunnan hallitukseen on valittava v&auml;hint&auml;&auml;n yksi henkil&ouml; tekniikan, kauppatieteiden ja taideteollisen alalta. Mielest&auml;ni n&auml;m&auml; kiinti&ouml;"paikat tulisi poistaa."",""Kommentit liittyen edelliseen kysymykseen &quot";AYY:n s&auml;&auml;nt&ouml;jen mukaan ylioppilaskunnan hallitukseen on valittava v&auml;hint&auml;&auml;n yksi henkil&ouml; tekniikan, kauppatieteiden ja taideteollisen alalta. Mielest&auml;ni n&auml;m&auml; kiinti&ouml;paikat tulisi poistaa.&quot;,19. Aallon tavoitteena on, ett&auml; vuoteen 2020 menness&auml; 40% opiskelijoista on ulkomaalaisia. Miten AYY:n kansainv&auml;lisyytt&auml; tulisi lis&auml;t&auml;"?"",""Kommentit liittyen edelliseen kysymykseen &quot";Aallon tavoitteena on, ett&auml; vuoteen 2020 menness&auml; 40% opiskelijoista on ulkomaalaisia. Miten AYY:n kansainv&auml;lisyytt&auml; tulisi lis&auml;t&auml;?&quot;,20. Ylioppilaskunnan tulisi vastustaa yliopiston jakamia taloudellisia kannustimia suorittaa 55 opintopistett&auml;" lukuvuodessa."",""Kommentit liittyen edelliseen kysymykseen &quot";Ylioppilaskunnan tulisi vastustaa yliopiston jakamia taloudellisia kannustimia suorittaa 55 opintopistett&auml; lukuvuodessa.&quot;,Suomessa tulisi voida peri&auml;" lukukausimaksuja:"",""Kommentit liittyen edelliseen kysymykseen ”Opiskelijoiden vaikutusmahdollisuuksia yliopistojen toimintaan pit&auml";isi mielest&auml;ni kehitt&auml;&auml;" ensisijaisesti”:"",""Suomessa on lukum&auml";&auml;r&auml;"llisesti liian monta yliopistoa."",""Yliopistoni tulisi tehd&auml"; yhteisty&ouml;t&auml; alueen korkeakoulujen kanssa lakkauttamalla p&auml;&auml;llekk&auml;isi&auml;" koulutusohjelmia."",""Tulevaisuudessa yh&auml"; useamman opiskelijan pit&auml;isi siirty&auml; ty&ouml;el&auml;m&auml;&auml;"n kandidaatin tutkinnolla."",""Ylioppilaskuntien automaatioj&auml";senyydest&auml;" tulisi luopua."",""Opintotukea tulisi kehitt&auml";&auml;":"",""Kommentit liittyen edelliseen kysymykseen ”Yliopistoni tulisi tehd&auml"; yhteisty&ouml;t&auml; alueen korkeakoulujen kanssa lakkauttamalla p&auml;&auml;llekk&auml;isi&auml;" koulutusohjelmia”:"",""Kommentit liittyen edelliseen kysymykseen ”Suomessa on lukum&auml";&auml;r&auml;"llisesti liian monta yliopistoa”:"",""Ylioppilaskunnan tekem&auml";n kehitysyhteisty&ouml;n tulisi sis&auml;lt&auml;&auml;":"",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskuntani antaa tarpeeksi osallistumismahdollisuuksia kansainv&auml";"lisille opiskelijoille”:"",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskunnan tekem&auml";n kehitysyhteisty&ouml;n tulisi sis&auml;lt&auml;&auml;"”:"",""Opiskelijoiden vaikutusmahdollisuuksia yliopistojen toimintaan pit&auml";isi mielest&auml;ni kehitt&auml;&auml;" ensisijaisesti:"",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskuntien automaatioj&auml";senyydest&auml;" tulisi luopua”:"",""Kommentit liittyen edelliseen kysymykseen ”Tulevaisuudessa yh&auml"; useamman opiskelijan pit&auml;isi siirty&auml; ty&ouml;el&auml;m&auml;&auml;"n kandidaatin tutkinnolla”:"",""Kommentit liittyen edelliseen kysymykseen ”Opintotukea tulisi kehitt&auml";&auml;"”:"",""Ylioppilaskunta voi ottaa kantaa muihinkin asioihin kuin suoraan koulutukseen, yliopistoihin ja opintososiaalisiin asioihin (opintotuki, asuminen, yms.) liittyviin kysymyksiin."",""Kommentit liittyen edelliseen kysymykseen ”Suomessa tulisi voida peri&auml";" lukukausimaksuja”:"",""Ylioppilaskuntani antaa tarpeeksi osallistumismahdollisuuksia kansainv&auml";"lisille opiskelijoille."",""Kommentit liittyen edelliseen kysymykseen ”Ylioppilaskunta voi ottaa kantaa muihinkin asioihin kuin suoraan koulutukseen, yliopistoihin ja opintososiaalisiin asioihin (opintotuki, asuminen, yms.) liittyviin kysymyksiin”:"",""Language"",""Top result"",""Top result percentage"""
"1497592130,""Default"",""25.10.2017 22:59:25"",""25.10.2017 23:31:52"",""1947"",""Default version"","""",""Suomessa ei tulisi voida periä lainkaan lukukausimaksuja"","""","""",""Madaltamalla opiskelijoiden kynnystä keskustella henkilökunnan kanssa omista opinnoistaan";"Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia"","""","""",""0"","""","""",""49"","""","""",""51"","""","""",""Lakkauttamalla opintotuki ja siirtymällä perustuloon";"Poistamalla tulorajat"","""","""",""Ylioppilaskunnan ei tulisi tehdä kehitysyhteistyötä"","""","""",""49"","""","""",""86"","""","""",""79"","""",""linjapaperien päivittäminen";"asuntokohteisiin liittyvät päätökset "","""",""3"","""",""4"","""",""2"","""",""1"","""",""1"","""",""Tilat";Asunnot;"Edunvalvonta"","""",""1"","""",""AYY:n tulisi edistää suomalaisten ja ulkomaisten opiskelijoiden keskinäisiä kohtaamisia."","""",""4"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Viertiö Tyko"",""83%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497592148,""Default"",""26.10.2017 08:39:39"",""26.10.2017 09:04:28"",""1488"",""Default version"","""",""EU- ja ETA-maiden ulkopuolisilta opiskelijoilta"","""","""",""Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia"","""","""",""48"","""","""",""8"","""","""",""19"","""","""",""Lisäämällä opintorahan määrää";"Poistamalla tulorajat"","""","""",""Tapahtumia ja tilaisuuksia aiheeseen liittyen"","""","""",""50"","""","""",""30"","""","""",""46"","""",""asuntokohteisiin liittyvät päätökset ";"budjetti"","""",""3"","""",""4"","""",""3"","""",""4"","""",""3"","""",""Asunnot";Tilat;"Edunvalvonta"","""",""1"","""",""AYY:ssä ja kaikissa yhdistyksissä toimimisen pitäisi olla mahdollista englanniksi. "","""",""3"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497592164,""Default"",""26.10.2017 16:42:11"",""26.10.2017 16:42:11"",""0"",""Default version"","""",""EU- ja ETA-maiden ulkopuolisilta opiskelijoilta"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497592168,""Default"",""26.10.2017 16:47:03"",""26.10.2017 16:49:36"",""152"",""Default version"","""",""EU- ja ETA-maiden ulkopuolisilta opiskelijoilta"","""","""",""Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia";"Vahvistamalla opiskelijoiden asemaa yliopiston virallisissa päätöksentekoelimissä"","""","""",""27"","""","""",""86"","""","""",""61"","""","""",""Lakkauttamalla opintotuki ja siirtymällä perustuloon"","""","""",""Tapahtumia ja tilaisuuksia aiheeseen liittyen"","""","""",""68"","""","""",""33"","""","""",""79"","""",""asuntokohteisiin liittyvät päätökset ";"linjapaperien päivittäminen"","""",""3"","""",""5"","""",""2"","""",""4"","""",""3"","""",""Asunnot";Kulttuuritapahtumat;"Tilat"","""",""2"","""",""Nykyinen tilanne on riittävän hyvä. "","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Rosson David"",""79%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497602179,""Default"",""26.10.2017 08:34:42"",""26.10.2017 08:47:25"",""763"",""Default version"","""",""Kaikilta opiskelijoilta"","""","""",""Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia"","""","""",""76"","""","""",""100"","""","""",""52"","""","""",""Poistamalla tulorajat";"Lakkauttamalla opintotuki ja siirtymällä perustuloon"","""","""",""Osallistumista ylioppilaskuntien yhteiselle kehitysyhteistyöviikolle";"Oman hankkeen / hankkeita"","""","""",""100"","""","""",""83"","""","""",""75"","""",""asuntokohteisiin liittyvät päätökset ";"budjetti"","""",""3"","""",""5"","""",""5"","""",""1"","""",""2"","""",""Asunnot";"Edunvalvonta"","""",""2"","""",""Kaiken pitäisi lähtökohtaisesti olla englanniksi. "","""",""5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Pinja Hokkanen"",""63%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497602268,""Default"",""26.10.2017 20:49:25"",""26.10.2017 20:53:21"",""235"",""Default version"","""",""EU- ja ETA-maiden ulkopuolisilta opiskelijoilta"","""","""",""Madaltamalla opiskelijoiden kynnystä keskustella henkilökunnan kanssa omista opinnoistaan";"Ottamalla opiskelijat vahvemmin mukaan opetussuunnitelmatyöhön"","""","""",""33"","""","""",""26"","""","""",""21"","""","""",""Lisäämällä opintorahan määrää"","""","""",""Jäsenmaksun yhteydessä kerättävän vapaaehtoisen kehitysyhteistyömaksun"","""","""",""71"","""","""",""69"","""","""",""76"","""",""asuntokohteisiin liittyvät päätökset "","""",""3"","""",""4"","""",""3"","""",""2"","""",""2"","""",""Asunnot";Kulttuuritapahtumat;"Tilat"","""",""2"","""",""Nykyinen tilanne on riittävän hyvä. "","""",""3"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Heliö Mikko"",""88%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497612155,""Default"",""25.10.2017 21:21:23"",""25.10.2017 23:15:38"",""6855"",""Default version"","""",""EU- ja ETA-maiden ulkopuolisilta opiskelijoilta"","""","""",""Kehittämällä yliopiston palautejärjestelmiä ja vahvistamalla niiden vaikuttavuutta";"Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia"","""","""",""100"","""","""",""0"","""","""",""21"","""","""",""Poistamalla tulorajat";"Lakkauttamalla opintotuki ja siirtymällä perustuloon"","""","""",""Jäsenmaksun yhteydessä kerättävän vapaaehtoisen kehitysyhteistyömaksun";"Osallistumista yliopistojen korkeakouluyhteistyöhön kehittyvien maiden korkeakoulujen kanssa"","""","""",""100"","""","""",""0"","""","""",""0"","""",""asuntokohteisiin liittyvät päätökset ";"budjetti"","""",""2"","""",""2"","""",""2"","""",""1"","""",""1"","""",""Edunvalvonta";Asunnot;"Tilat"","""",""1"","""",""Nykyinen tilanne on riittävän hyvä. "","""",""5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Tanska Noora"",""78%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497612195,""Default"",""26.10.2017 09:09:07"",""26.10.2017 09:14:21"",""313"",""Default version"","""",""Suomessa ei tulisi voida periä lainkaan lukukausimaksuja"","""","""",""Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia"","""","""",""65"","""","""",""72"","""","""",""65"","""","""",""Lakkauttamalla opintotuki ja siirtymällä perustuloon"","""","""",""Oman hankkeen / hankkeita";"Osallistumista yliopistojen korkeakouluyhteistyöhön kehittyvien maiden korkeakoulujen kanssa"","""","""",""86"","""","""",""19"","""","""",""30"","""",""asuntokohteisiin liittyvät päätökset ";"budjetti"","""","""","""",""1"","""",""2"","""",""4"","""",""4"","""",""Asunnot";Tilat;"Kulttuuritapahtumat"","""",""1"","""",""AYY:n tulisi edistää suomalaisten ja ulkomaisten opiskelijoiden keskinäisiä kohtaamisia."","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Pirinen Kalle"",""79%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1497612204,""Default"",""26.10.2017 10:17:42"",""26.10.2017 10:21:40"",""237"",""Default version"","""",""EU- ja ETA-maiden ulkopuolisilta opiskelijoilta"","""","""",""Vahvistamalla opiskelijoiden asemaa yliopiston virallisissa päätöksentekoelimissä";"Lisäämällä ainejärjestöjen vaikutusmahdollisuuksia"","""","""",""5"","""","""",""79"","""","""",""71"","""","""",""Poistamalla tulorajat";"Lakkauttamalla opintotuki ja siirtymällä perustuloon"","""","""",""Ylioppilaskunnan ei tulisi tehdä kehitysyhteistyötä"","""","""",""44"","""","""",""16"","""","""",""92"","""",""muut kuin asumiseen liittyvät tilat, kuten opiskelijakeskus";"asuntokohteisiin liittyvät päätökset "","""",""3"","""",""4"","""",""2"","""",""5"","""",""1"","""",""Edunvalvonta";Asunnot;"Kulttuuritapahtumat"","""",""2"","""",""AYY:n tulisi edistää suomalaisten ja ulkomaisten opiskelijoiden keskinäisiä kohtaamisia."","""",""5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""fi"",""Jurvanen Emilia"",""83%""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
